show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,ROI
939243,Movie,Sonic the Hedgehog 3,Jeff Fowler,"Jim Carrey, Ben Schwartz, Keanu Reeves, Idris Elba, Colleen O'Shaughnessey","United States of America, Japan",2024-12-19,2024,7.742,"Action, Science Fiction, Comedy, Family",en,2402.503,2047,7.742,122000000,472518457,3.87
1241982,Movie,Moana 2,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung, Rose Matafeo, David Fane","Canada, United States of America",2024-11-21,2024,7.1,"Animation, Adventure, Family, Comedy",en,2347.007,1758,7.1,150000000,1044396565,6.96
539972,Movie,Kraven the Hunter,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger, Alessandro Nivola, Christopher Abbott",United States of America,2024-12-11,2024,6.7,"Action, Adventure, Thriller",en,1195.885,1333,6.7,120000000,59184643,0.49
912649,Movie,Venom: The Last Dance,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple, Rhys Ifans, Stephen Graham",United States of America,2024-10-22,2024,6.786,"Action, Science Fiction, Adventure",en,931.677,2946,6.786,120000000,478103649,3.98
558449,Movie,Gladiator II,Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nielsen, Joseph Quinn",United States of America,2024-11-13,2024,6.767,"Action, Adventure, Drama",en,875.346,2934,6.767,310000000,458718000,1.48
549509,Movie,The Brutalist,Brady Corbet,"Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy","United Kingdom, United States of America",2024-12-20,2024,7.065,Drama,en,760.893,684,7.065,9000000,41360246,4.6
933260,Movie,The Substance,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams","France, United Kingdom, United States of America",2024-09-07,2024,7.1,"Horror, Science Fiction",en,755.912,4019,7.1,17500000,76506196,4.37
1064213,Movie,Anora,Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov, Karren Karagulian, Vache Tovmasyan",United States of America,2024-10-14,2024,7.1,"Drama, Comedy, Romance",en,726.2,1264,7.1,6000000,38475235,6.41
1064486,Movie,Memoir of a Snail,Adam Elliot,"Sarah Snook, Kodi Smit-McPhee, Jacki Weaver, Magda Szubanski, Dominique Pinon",Australia,2024-10-17,2024,7.8,"Animation, Drama, Comedy",en,719.126,224,7.8,4350000,1189972,0.27
1035048,Movie,Elevation,George Nolfi,"Anthony Mackie, Morena Baccarin, Maddie Hasson, Danny Boyd Jr., Rachel Nicks",United States of America,2024-11-07,2024,6.5,"Action, Science Fiction, Thriller",en,605.354,596,6.5,18000000,3300000,0.18
402431,Movie,Wicked,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey",United States of America,2024-11-20,2024,6.9,"Drama, Romance, Fantasy",en,593.834,1854,6.9,150000000,728145850,4.85
516729,Movie,Paddington in Peru,Dougal Wilson,"Ben Whishaw, Hugh Bonneville, Emily Mortimer, Samuel Joslin, Madeleine Harris","United Kingdom, France, United States of America, Japan",2024-11-08,2024,6.8,"Family, Adventure, Comedy",en,571.327,184,6.8,90000000,150254414,1.67
519182,Movie,Despicable Me 4,Chris Renaud,"Steve Carell, Kristen Wiig, Will Ferrell, Sofía Vergara, Miranda Cosgrove",United States of America,2024-06-20,2024,7.06,"Animation, Family, Comedy, Science Fiction",en,559.221,2587,7.06,100000000,969280910,9.69
1184918,Movie,The Wild Robot,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu",United States of America,2024-09-12,2024,8.3,"Animation, Science Fiction, Family",en,545.961,4437,8.3,78000000,331982078,4.26
974576,Movie,Conclave,Edward Berger,"Ralph Fiennes, Stanley Tucci, John Lithgow, Isabella Rossellini, Lucian Msamati","United Kingdom, United States of America",2024-10-25,2024,7.1,"Drama, Thriller",en,503.957,1494,7.1,20000000,95579868,4.78
426063,Movie,Nosferatu,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård, Aaron Taylor-Johnson, Willem Dafoe",United States of America,2024-12-25,2024,6.686,"Fantasy, Horror",en,496.505,2270,6.686,50000000,177225075,3.54
533535,Movie,Deadpool & Wolverine,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen",United States of America,2024-07-24,2024,7.619,"Action, Comedy, Science Fiction",en,484.727,6809,7.619,200000000,1338073645,6.69
811941,Movie,Devara: Part 1,Koratala Siva,"N.T. Rama Rao Jr., Saif Ali Khan, Prakash Raj, Srikanth, Kalaiyarasan",India,2024-09-26,2024,7.1,"Action, Drama",te,455.223,168,7.1,24000000,54000000,2.25
845781,Movie,Red One,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu, J.K. Simmons, Bonnie Hunt",United States of America,2024-10-31,2024,7.1,"Action, Fantasy, Comedy",en,449.798,2351,7.1,250000000,185700759,0.74
839033,Movie,The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,"Brian Cox, Gaia Wise, Luke Pasqualino, Laurence Ubong Williams, Lorraine Ashbourne","Japan, New Zealand, United States of America",2024-12-05,2024,6.647,"Animation, Fantasy, Adventure, Action",en,442.253,462,6.647,30000000,19958572,0.67
1022789,Movie,Inside Out 2,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Tony Hale",United States of America,2024-06-11,2024,7.6,"Animation, Adventure, Comedy, Family",en,437.374,5600,7.6,200000000,1698863816,8.49
974453,Movie,Absolution,Hans Petter Moland,"Liam Neeson, Ron Perlman, Yolonda Ross, Frankie Shaw, Daniel Diemer",United States of America,2024-10-31,2024,5.896,"Action, Crime, Thriller, Mystery",en,434.123,352,5.896,30000000,3854594,0.13
1138194,Movie,Heretic,"Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East, Topher Grace, Elle Young",United States of America,2024-10-31,2024,7.2,"Horror, Thriller",en,342.098,1213,7.2,10000000,51913394,5.19
1028196,Movie,Nickel Boys,RaMell Ross,"Ethan Herisse, Brandon Wilson, Aunjanue Ellis-Taylor, Hamish Linklater, Gralen Bryant Banks",United States of America,2024-12-13,2024,6.491,Drama,en,330.497,163,6.491,23200000,2851181,0.12
945961,Movie,Alien: Romulus,Fede Álvarez,"Cailee Spaeny, David Jonsson, Archie Renaux, Isabela Merced, Spike Fearn",United States of America,2024-08-13,2024,7.2,"Horror, Science Fiction",en,328.825,3388,7.2,80000000,350865342,4.39
